1,1,0,34,23,78,36,17,0.01
1,0,1,43,38,62,33,14,0.01
0,0,1,38,31,85,22,15,0.08
0,0,2,38,31,96,85,25,1.19
0,0,2,38,29,82,44,21,0
0,1,1,32,26,58,43,18,0
1,0,2,33,21,77,45,14,0
0,0,1,41,28,70,53,15,0
0,0,2,36,16,70,33,20,0
0,0,2,22,15,84,47,16,0.05
0,1,2,16,9,59,36,15,0
1,0,2,29,19,81,50,15,0
0,0,2,26,17,67,33,16,0
0,0,2,37,20,62,47,15,0
0,1,2,47,31,66,38,16,0
1,0,2,29,19,57,31,10,0
0,0,2,29,25,55,33,13,0
0,0,1,41,24,100,39,21,0.97
0,0,2,36,26,59,45,21,0
0,1,2,35,26,69,50,16,0.01
1,0,2,53,34,75,30,16,0.01
0,0,2,34,25,100,75,16,0.28
0,0,1,30,17,68,34,17,0
0,0,2,21,12,61,37,17,0
0,1,2,32,15,54,39,14,0
1,0,2,45,33,61,37,15,0
0,0,1,50,35,76,45,13,0
0,0,2,65,45,80,52,12,0.03
0,0,2,57,44,89,44,30,0.12
0,1,2,44,31,53,20,22,0
1,0,2,40,24,63,27,12,0
0,0,2,44,32,100,47,17,0.32
0,0,2,50,27,92,35,24,0
0,1,2,33,23,50,33,23,0
1,0,2,34,24,55,33,23,0
0,0,2,37,22,57,29,20,0
0,0,2,42,24,64,22,12,0
0,0,2,50,35,70,42,14,0
0,1,2,61,43,89,51,15,0.04
1,0,2,28,16,96,54,20,0.49
0,0,2,26,12,58,32,18,0
0,0,2,34,18,60,34,10,0
0,0,2,43,28,70,29,15,0
0,1,2,55,38,70,41,18,0.01
1,0,2,49,38,92,71,21,0.1
0,0,2,47,37,92,53,14,0.01
0,0,2,58,41,93,31,18,0
0,0,2,44,32,45,28,21,0
0,1,2,40,27,61,24,13,0
1,0,2,47,40,70,49,21,0
0,0,2,55,36,85,38,17,0
0,0,2,64,41,70,40,16,0
0,0,2,53,42,89,59,17,0.13
0,1,2,46,33,96,29,15,0.04
1,0,2,44,29,32,14,21,0
0,0,2,50,27,46,19,20,0
0,0,2,52,35,48,28,13,0
0,0,2,45,42,100,41,13,0.4
0,1,2,63,44,89,43,10,0
1,0,2,53,41,93,41,22,0
0,0,2,60,38,76,33,17,0
0,0,2,49,43,100,65,15,0.36
0,0,2,64,44,100,60,12,0.01
0,1,2,61,48,100,60,20,0.91
1,0,2,55,45,100,43,16,0.56
0,0,1,49,39,77,40,17,0
0,0,1,48,35,64,39,16,0.01
0,1,1,63,41,57,20,15,0
1,0,1,57,34,51,16,14,0
